R0000100,R0536300,R0536401,R0536402,R1235800,T8122500,R1482600,S3659000,S3681000,S3697000,S3713000,S3729000,S3757000,S5041700,S6783100,S8689700,T1109400,T3186900,T4597800,T6231000,T7732100,T9133500
PUBID_1997,KEY!SEX_1997,KEY!BDATE_M_1997,KEY!BDATE_Y_1997,CV_SAMPLE_TYPE_1997,VERSION_R16_2013,KEY!RACE_ETHNICITY_1997,YEMP_OCCODE_2002_01_1997,YEMP_OCCODE_2002_01_1998,YEMP_OCCODE_2002_01_1999,YEMP_OCCODE_2002_01_2000,YEMP_OCCODE_2002_01_2001,YEMP_OCCODE_2002_01_2003,YEMP_OCCODE_2002_01_2004,YEMP_OCCODE_2002_01_2005,YEMP_OCCODE_2002_01_2006,YEMP_OCCODE_2002_01_2007,YEMP_OCCODE_2002_01_2008,YEMP_OCCODE_2002_01_2009,YEMP_OCCODE_2002_01_2010,YEMP_OCCODE_2002_01_2011,YEMP_OCCODE_2002_01_2013
1615,1,3,1983,1,429,2,-4,4220,4250,-4,9620,4650,4650,3950,3950,-4,4140,4140,4140,4140,4140
1616,2,3,1982,1,-5,4,4600,6240,-5,-5,-5,-5,-5,-5,-5,-5,7750,-5,-5,-5,-5
1617,1,10,1983,1,429,4,-4,4220,4220,9620,2720,4620,4620,4020,910,850,850,850,850,850,850
1618,1,9,1980,1,429,4,4720,4050,-4,1550,4760,4700,4700,-4,-4,1110,1110,1110,1110,110,110
1619,1,5,1981,1,-5,4,8300,4720,4250,-4,4110,4110,4950,-5,-5,840,-5,-5,-5,-5,-5
1620,1,4,1984,1,429,4,-4,8300,-4,-4,4740,5620,5620,4110,5160,5160,800,800,800,-4,5120
1621,1,12,1981,1,-5,4,9360,-5,5620,-5,-5,-5,-5,4620,-5,4620,-5,-5,-5,-5,-5
1622,2,10,1984,1,429,3,-4,4220,4720,-4,2700,4900,2740,2740,2740,2740,2740,2740,2740,2740,2760
1623,1,1,1983,1,429,4,-4,-4,4720,4060,4060,1810,1960,1020,1020,1020,20,1020,710,710,710
1624,2,1,1984,1,429,4,-4,-4,4760,4720,8830,2340,2340,120,430,430,840,840,840,840,850
1625,1,2,1982,1,-5,2,-4,4720,-5,-5,-5,-5,-5,-5,5620,-5,-5,-5,-5,-5,-5
1626,1,12,1984,1,-5,2,-4,-4,-5,8300,-5,-5,-5,8140,6260,-5,7200,7200,7200,7200,-5
1627,1,3,1982,1,429,4,-4,9620,5860,7720,5620,4700,8740,8960,8760,9620,9620,9620,9620,9620,9620
1628,1,7,1983,1,429,4,-4,8310,-4,4060,4060,4010,4010,4720,4720,4720,4720,-4,-4,-4,-4
1629,2,6,1982,1,429,4,9640,4840,4110,4060,4060,-4,4250,1110,1110,3630,3630,3630,2200,4710,4710
1630,2,8,1981,1,429,4,-4,-4,4760,4760,1110,5260,5260,800,800,1800,1800,1740,1740,1740,1740
1631,1,12,1981,1,429,4,-4,4060,9130,9130,-5,3920,4040,-5,-5,-5,-5,-5,4040,4040,4040
1632,1,3,1984,1,429,4,-4,-4,9620,9620,9620,-4,5240,4960,2900,4760,7620,7620,4720,4720,4720
1633,2,4,1980,1,429,4,4720,4720,4720,5000,5000,4620,4600,4010,4010,4720,4710,4710,230,230,50
1634,2,5,1984,1,429,4,-4,4720,5820,4720,4760,4760,4760,2340,4760,50,50,4110,4030,310,310
1635,1,5,1980,1,429,4,4760,5400,5300,5300,-5,-5,-5,-5,-5,-5,-5,-5,-5,20,20
1636,1,11,1981,1,-5,4,4600,2000,-5,-5,2000,4620,4620,4620,420,420,-5,420,-5,-5,-5
1637,1,1,1983,1,-5,4,-4,-4,-4,6240,6230,6260,6200,6200,6200,6510,6510,6510,6510,-5,-5
1638,1,7,1980,1,-5,4,5240,9130,9130,-5,-5,-5,-5,-5,-5,-5,-5,-5,9130,-5,-5
1639,2,1,1984,1,429,4,-4,-4,-4,4760,4720,4760,4760,4060,2300,2300,2310,2310,2310,2310,2310
1640,1,7,1982,1,-5,4,4140,4720,5100,9620,9620,6230,6510,6510,6510,6510,6510,-5,6510,-5,-5
1641,2,8,1983,1,429,4,-4,9620,5100,5100,3910,5010,5010,5010,1040,1040,1040,1040,1040,1040,1040
1642,2,11,1983,1,429,4,-4,-4,3950,4760,3950,5120,120,520,520,520,5600,5600,520,520,520
1643,1,11,1981,1,-5,4,-4,5510,5510,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1644,2,3,1981,1,429,4,4720,4720,4720,4900,3920,430,430,430,2140,2140,2140,2140,2140,110,350
1645,1,10,1981,1,429,4,4060,8650,9620,4110,410,410,2340,2040,2000,2340,2340,2340,2340,2340,7750
1646,1,4,1982,1,429,4,6260,2720,4020,4760,4760,6230,6230,4110,4110,4760,4760,6260,6260,6260,8140
1647,2,11,1982,1,429,4,-4,4050,4110,4110,4110,4110,4110,4640,-4,-4,-4,3060,3060,3060,3060
1648,1,9,1981,1,429,4,4130,4130,-4,-5,8150,4020,4020,4650,4130,4130,4140,4140,4140,4140,4130
1649,1,2,1981,1,429,4,4760,4760,9620,4760,9620,1960,6200,1610,1610,1610,1610,1610,1610,1610,1610
1650,1,7,1982,1,-5,4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1651,2,10,1982,1,429,4,-4,5700,4220,5700,5400,5400,5400,-5,2320,-5,-5,-5,2310,-5,-4
1652,1,3,1981,1,-5,4,-4,7340,7340,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1653,1,7,1983,1,-5,4,-4,-4,4720,4940,6420,1040,7040,1110,1110,1110,1020,1110,1110,-5,-5
1654,1,3,1980,1,429,4,4620,430,430,430,430,-5,-5,-5,-5,1530,1530,1530,1530,1530,1530
1655,1,4,1982,1,429,4,-4,6260,4020,4020,-5,4110,4110,4110,4110,4110,4110,4110,4110,4040,4040
1656,1,5,1984,1,429,4,-4,-4,1110,-4,-4,4220,2630,9640,2910,2910,1000,1000,1100,1000,1000
1657,2,5,1983,1,429,1,-4,-5,-5,-5,5240,4760,-5,-5,4700,4700,4700,4700,4700,4700,4700
1658,2,11,1982,1,-5,4,-4,-4,4150,4620,-5,-5,5140,-5,-5,-5,-5,-5,-5,-5,-5
1659,1,12,1982,1,429,2,4230,4230,-4,9620,9610,7210,7210,7210,7210,7210,7210,7210,7700,7700,7700
1660,2,5,1981,1,-5,4,-4,2340,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1661,1,9,1980,1,429,2,4250,9130,4760,3410,4130,6230,-4,4340,4340,4850,4850,4850,4850,4850,4850
1662,1,12,1981,1,429,4,-4,6240,9640,9640,4600,-4,6240,-4,6230,6230,-4,-4,-4,-4,-4
1663,2,1,1984,1,429,2,-4,6420,6420,-4,4050,4740,-4,4720,4720,4720,4720,4720,7810,4700,4700
1664,1,8,1983,1,429,4,-4,-4,4720,-5,4720,4350,6260,-4,4940,6260,4020,-4,4250,4250,4250
1665,1,7,1981,1,429,4,4060,4020,4110,5620,-4,9620,-5,-5,-5,-4,9990,-5,6200,-4,6420
1666,1,12,1981,1,429,4,4020,-5,9610,2110,7200,7200,7200,9360,7200,2850,7200,9620,4760,4760,-4
1667,1,10,1984,1,429,4,-4,-4,-4,-4,4720,9620,4600,4600,4600,5120,7850,7810,4110,4760,4110
1668,1,2,1984,1,429,4,-4,-4,-4,4020,-5,-5,-5,-5,-5,4020,4020,6440,4020,4020,4020
1669,2,9,1981,1,429,4,-4,4760,4760,4110,4110,2200,4110,5700,4110,4110,20,20,20,20,2710
1670,2,8,1980,1,429,4,-4,-4,4220,-4,5310,5810,-4,-4,-4,-4,-4,-4,-4,-4,5120
1671,2,3,1982,1,429,4,-4,9640,4720,4720,5860,4250,5310,4250,4250,4250,4250,2540,4250,5600,1300
1672,2,12,1983,1,429,4,-4,-4,-4,-4,4230,4610,4230,4720,3130,3130,3130,3130,3130,3130,4950
1673,2,11,1982,1,429,4,-4,-4,4760,4760,4460,5120,5120,5120,5120,5120,4830,4830,4010,4850,5240
1674,2,6,1981,1,429,4,-4,-4,9130,5400,-4,-4,2600,-5,-5,-5,2600,2600,2600,-5,2600
1675,1,1,1984,1,429,4,-4,-4,5240,-4,4720,-4,4650,9130,4020,4020,-4,-4,-4,-4,5620
1676,1,5,1980,1,429,4,6320,6260,1560,-4,1540,6440,6440,6440,220,220,220,220,220,220,220
1677,2,4,1982,1,-5,4,-4,-4,3640,3640,4110,5400,2010,2010,2010,9990,-5,-5,-5,-5,-5
1678,1,12,1983,1,429,4,-4,-4,-4,3950,3950,3950,-4,-4,-4,160,160,160,4840,5240,4850
1679,2,2,1982,1,429,4,-4,3650,3650,5800,5800,2310,5160,5160,4600,4720,-4,4720,4710,4710,4710
1680,2,4,1982,1,429,4,-4,4760,-4,4740,4760,4760,4060,5600,5600,2340,2750,2750,500,500,4700
1681,1,2,1981,1,-5,4,5620,5620,5620,4250,8420,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1682,2,5,1980,1,429,4,-4,4760,-4,-4,-4,5140,5930,4960,10,10,10,10,10,10,4920
1683,1,1,1980,1,429,2,4720,4220,7020,7020,7020,3920,-4,-4,-3,-3,-3,-3,-3,-3,4700
1684,2,1,1981,1,429,2,-4,4720,4720,2860,2860,7020,7020,5700,5700,5700,-4,-4,-4,-4,-4
1685,1,3,1980,1,429,3,-4,4020,430,5620,220,9350,4530,5300,4110,4110,4110,4110,4850,4850,4850
1686,2,2,1982,1,429,4,-4,4430,4430,2750,4640,5260,4700,2850,2850,2850,2850,2850,2850,4030,2850
