A0002500,R0000100,R0214700,R0214800,R0828000,R0945300,R1255700,R1650500,R1923100,R2317900,R2525700,R2924700,R3127400,R3523100,R3728100,R4193700,R4587901,R5270900,R6473700,R6592900
VERSION_R25_2012,CASEID_1979,SAMPLE_RACE_78SCRN,SAMPLE_SEX_1979,CPSOCC80_1982,CPSOCC80_1983,CPSOCC80_1984,CPSOCC80_1985,CPSOCC80_1986,CPSOCC80_1987,CPSOCC80_1988,CPSOCC80_1989,CPSOCC80_1990,CPSOCC80_1991,CPSOCC80_1992,CPSOCC80_1993,CPSOCC80_1994,CPSOCC80_1996,CPSOCC80_1998,CPSOCC80_01_2000
445,2909,3,2,418,313,223,197,14,157,119,-4,-4,-4,-4,-4,-4,-4,159,159
445,2910,3,2,405,335,208,469,463,319,318,313,14,163,163,163,19,19,163,163
445,2911,1,2,-5,275,434,435,444,276,365,277,277,406,443,234,234,178,234,234
445,2912,1,1,486,354,354,566,389,357,389,379,389,356,379,359,359,379,19,-5
445,2913,1,1,579,808,803,809,307,7,19,375,376,805,356,356,307,307,19,-5
445,2914,2,1,356,307,19,229,254,389,75,376,337,-5,-5,23,337,-3,337,65
445,2915,3,1,186,137,186,186,186,315,229,229,229,229,308,229,154,159,129,64
445,2916,3,1,335,313,379,335,385,19,23,316,375,375,326,375,375,253,27,33
445,2917,3,1,-4,-4,637,883,709,885,453,709,633,453,809,809,809,805,-5,-5
445,2918,3,2,389,383,23,7,389,376,254,254,447,447,447,447,447,447,447,319
445,2919,3,2,337,337,444,185,687,444,754,754,888,888,185,688,688,687,-4,-4
445,2920,3,1,-4,-4,-4,-4,515,785,508,653,515,653,515,508,508,507,507,507
445,2921,3,1,356,453,364,-5,23,23,23,23,337,338,64,354,337,337,23,23
445,2922,3,1,498,498,804,804,805,804,805,805,804,869,805,804,804,804,805,805
445,2923,3,1,218,218,218,218,218,218,218,218,63,63,63,63,63,63,217,217
445,2924,3,1,889,218,217,217,217,217,217,217,63,217,63,217,63,43,43,-5
445,2925,3,1,316,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2926,3,2,-5,-5,-5,-5,-5,-5,156,156,-4,157,-4,-4,159,313,156,156
445,2927,3,1,-4,-4,-4,-4,-5,243,274,259,-5,269,257,268,274,274,259,-5
445,2928,3,2,276,276,435,313,225,229,337,25,-4,-4,129,129,129,-4,-4,-4
445,2929,3,2,-5,459,433,-5,-5,-5,-5,-5,-5,-5,438,447,379,447,19,426
445,2930,3,2,274,275,274,275,313,19,19,15,313,313,313,313,216,774,774,774
445,2931,3,1,274,424,-4,424,274,274,-4,-4,-4,-4,-4,-4,-4,-5,-5,159
445,2932,3,1,804,425,-4,243,243,579,437,19,796,796,-4,-4,-4,-4,558,558
445,2933,3,1,777,789,637,777,684,777,637,709,709,709,709,709,444,444,579,785
445,2934,3,2,438,276,438,437,438,-4,-4,-4,-4,-4,-4,-4,-4,276,276,-5
445,2935,3,2,313,-5,-5,313,-5,19,-5,-5,-5,19,348,213,213,313,313,-5
445,2936,3,2,277,204,204,389,389,446,85,336,204,204,204,445,204,204,445,445
445,2937,3,1,-4,-4,308,777,308,308,308,304,779,308,64,229,229,229,-5,-5
445,2938,3,2,435,435,435,435,435,435,443,435,435,19,435,243,243,243,243,243
445,2939,3,1,318,633,307,376,19,274,19,19,283,243,256,259,19,283,274,274
445,2940,3,2,315,274,438,313,159,159,443,156,468,144,156,163,163,156,163,174
445,2941,3,1,-4,468,154,387,128,223,-4,-4,-4,-4,235,229,229,19,19,64
