24,24,31,19,19,19,19,2,19,1,1,19,19,1,1,1
31,23,23,19,19,23,14,14,14,20,14,14,14,14,14,14
31,31,27,31,27,29,24,24,24,24,24,24,24,20,24,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,23,23,23,23,23,23,23,23,20,20,20,20,20,20,20
31,27,31,27,27,27,31,20,23,23,23,,,,,
20,23,21,20,31,31,31,31,31,31,1,31,31,31,31,31
20,19,1,1,19,19,2,19,19,19,19,19,19,19,20,20
19,20,20,20,20,1,20,20,1,2,20,20,23,1,1,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
29,29,31,31,27,31,19,19,19,19,19,19,31,19,29,1
31,4,4,18,29,26,31,18,26,18,18,18,18,18,18,18
20,20,19,31,18,2,5,5,5,18,5,18,18,18,18,18
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
30,30,29,20,26,31,19,31,31,31,31,31,31,31,31,31
20,20,2,20,20,20,20,16,2,20,20,20,20,1,16,16
18,16,23,18,6,17,18,4,18,18,18,18,18,18,18,
23,23,26,31,25,26,30,27,27,27,27,27,27,27,24,24
2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
21,20,20,23,23,23,11,20,20,10,11,11,11,11,11,11
20,21,20,19,19,19,19,19,19,19,19,19,19,19,19,19
23,23,23,1,23,23,1,1,23,1,2,1,1,1,23,23
27,26,26,31,22,23,18,26,27,26,27,27,27,26,27,27
19,20,20,20,1,2,1,18,2,20,1,19,19,20,20,20
23,23,23,23,19,23,23,23,23,23,23,23,23,23,20,20
23,23,20,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
26,26,31,27,19,19,20,1,1,1,1,19,19,1,19,19
23,20,30,16,16,10,16,16,16,16,16,1,1,1,1,1
23,23,20,1,20,1,1,26,1,5,2,20,19,19,1,1
20,19,19,20,27,20,20,20,20,20,20,20,20,20,19,19
22,22,23,31,22,22,22,22,22,22,22,22,22,22,22,22
19,20,1,19,31,19,1,19,20,31,19,19,19,19,19,19
20,23,23,23,23,23,17,17,17,17,17,17,8,8,8,
31,31,17,31,31,20,31,31,31,31,31,31,31,31,31,
30,30,,,,,,,,,,,,,,
23,20,20,23,23,23,23,23,,,,,,,,
11,11,10,1,19,2,11,11,11,11,11,11,11,11,11,11
31,29,29,29,29,20,5,19,18,20,31,19,19,19,11,11
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,24,20,29,27,31,31,31,27,27,27,27,27,27,,
29,27,29,29,29,29,29,29,29,25,29,31,31,29,27,29
21,23,21,21,23,21,23,1,23,21,23,21,21,21,21,21
20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,
19,,,,,,,,,,,,,,,
31,19,1,1,31,1,20,1,1,1,22,22,,,,
19,31,31,31,31,31,31,31,31,31,20,1,22,22,31,31
23,23,31,31,20,31,31,31,20,20,31,31,,,,
20,31,23,31,31,27,7,23,22,23,23,23,23,23,23,23
31,31,31,31,31,31,31,31,31,31,31,31,31,31,19,19
31,26,31,27,31,31,31,27,29,25,31,31,31,31,31,31
27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27
27,27,27,27,27,1,27,27,27,27,27,27,27,1,1,1
31,31,31,31,31,31,30,31,30,30,30,31,31,31,31,31
31,31,31,31,31,20,31,31,31,31,31,31,31,31,31,31
24,24,27,27,24,24,24,24,24,24,24,24,24,24,24,24
29,31,26,26,26,27,27,27,27,27,31,27,27,27,27,27
17,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
24,24,7,7,8,8,8,8,8,8,8,8,8,8,8,8
18,17,24,24,24,24,24,20,20,20,20,20,20,20,20,20
27,27,27,27,27,27,31,31,27,27,1,27,27,27,27,27
31,23,24,24,31,2,31,31,31,31,31,31,31,31,31,31
16,16,16,20,20,19,16,1,1,20,19,16,16,1,19,
31,20,20,20,26,26,26,25,1,19,1,23,23,31,31,
20,20,20,1,20,20,2,1,20,1,20,19,20,1,1,1
23,23,23,23,23,23,23,23,23,23,23,23,23,,,
31,22,23,31,31,21,31,31,31,31,31,31,31,,,
20,20,20,9,1,19,20,2,2,14,14,20,2,2,,
16,16,16,16,16,31,16,16,16,16,16,16,16,16,16,16
23,23,22,20,4,4,4,4,4,4,18,18,4,4,4,4
23,23,23,23,23,23,23,23,23,23,23,23,17,8,21,21
20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20
23,23,19,24,23,1,1,1,1,1,23,23,23,1,31,1
27,27,27,27,27,27,1,27,1,31,1,2,2,27,1,27
27,27,27,27,27,27,1,1,1,1,27,1,1,1,27,27
31,24,31,23,31,27,27,27,27,27,27,27,27,27,27,27
20,20,20,20,10,10,11,11,2,10,10,11,11,1,29,29
2,20,20,2,2,2,20,19,20,20,20,20,20,20,2,2
27,31,27,27,27,27,27,31,27,27,27,27,27,27,29,22
23,31,20,20,20,20,20,20,20,20,2,20,20,1,31,1
31,31,27,31,31,31,20,20,20,20,20,20,20,20,20,20
20,20,20,31,22,2,1,19,20,1,22,22,22,22,22,22
19,23,23,19,20,20,2,2,20,1,20,1,1,19,1,1
20,18,20,6,6,18,6,6,4,6,16,16,18,18,18,18
19,23,20,20,23,19,19,19,19,23,23,23,23,23,23,23
31,31,1,1,1,23,19,19,19,19,2,2,2,2,1,1
20,19,20,27,23,1,1,2,2,18,19,19,19,19,13,13
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
23,20,20,20,15,1,2,2,2,1,20,20,20,20,20,20
